,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,New Orleans Saints,L 26–27,0–1,Mercedes-Benz Stadium,Recap,Atlanta Falcons,None (retractable roof closed),72,12:00,Atlanta,Georgia,2022
1,2,September 18,at Los Angeles Rams,L 27–31,0–2,SoFi Stadium,Recap,Atlanta Falcons,Cloudy,74,15:05,Inglewood,California,2022
2,3,September 25,at Seattle Seahawks,W 27–23,1–2,Lumen Field,Recap,Atlanta Falcons,Sunny,67,15:25,Seattle,Washington,2022
3,4,October 2,Cleveland Browns,W 23–20,2–2,Mercedes-Benz Stadium,Recap,Atlanta Falcons,Sunny,72,12:00,Atlanta,Georgia,2022
4,5,October 9,at Tampa Bay Buccaneers,L 15–21,2–3,Raymond James Stadium,Recap,Atlanta Falcons,Clear,83,12:00,Tampa,Florida,2022
5,6,October 16,San Francisco 49ers,W 28–14,3–3,Mercedes-Benz Stadium,Recap,Atlanta Falcons,Sunny,77,12:00,Atlanta,Georgia,2022
6,7,October 23,at Cincinnati Bengals,L 17–35,3–4,Paycor Stadium,Recap,Atlanta Falcons,Sunny,73,12:00,Cincinnati,Ohio,2022
7,8,October 30,Carolina Panthers,W 37–34 (OT),4–4,Mercedes-Benz Stadium,Recap,Atlanta Falcons,None (retractable roof closed),72,12:00,Atlanta,Georgia,2022
8,9,November 6,Los Angeles Chargers,L 17–20,4–5,Mercedes-Benz Stadium,Recap,Atlanta Falcons,Cloudy,80,13:00,Atlanta,Georgia,2022
9,10,November 10,at Carolina Panthers,L 15–25,4–6,Bank of America Stadium,Recap,Atlanta Falcons,Light rain,60,20:15,Charlotte,North Carolina,2022
10,11,November 20,Chicago Bears,W 27–24,5–6,Mercedes-Benz Stadium,Recap,Atlanta Falcons,None (retractable roof closed),72,13:00,Atlanta,Georgia,2022
11,12,November 27,at Washington Commanders,L 13–19,5–7,FedExField,Recap,Atlanta Falcons,Rain,49,13:00,Landover,Maryland,2022
12,13,December 4,Pittsburgh Steelers,L 16–19,5–8,Mercedes-Benz Stadium,Recap,Atlanta Falcons,None (retractable roof closed),72,13:00,Atlanta,Georgia,2022
13,14,Bye,Bye,Bye,Bye,Bye,Bye,Atlanta Falcons,,,,,,2022
14,15,December 18,at New Orleans Saints,L 18–21,5–9,Caesars Superdome,Recap,Atlanta Falcons,None (indoor stadium),72,13:00,New Orleans,Louisiana,2022
15,16,December 24,at Baltimore Ravens,L 9–17,5–10,M&T Bank Stadium,Recap,Atlanta Falcons,Clear,17,13:00,Baltimore,Maryland,2022
16,17,January 1,Arizona Cardinals,W 20–19,6–10,Mercedes-Benz Stadium,Recap,Atlanta Falcons,None (retractable roof closed),72,13:00,Atlanta,Georgia,2022
17,18,January 8,Tampa Bay Buccaneers,W 30–17,7–10,Mercedes-Benz Stadium,Recap,Atlanta Falcons,None (retractable roof closed),72,13:00,Atlanta,Georgia,2022
