,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at New York Jets,W 24–9,1–0,MetLife Stadium,Recap,Baltimore Ravens,Rain,73,12:00,East Rutherford,New Jersey,2022
1,2,September 18,Miami Dolphins,L 38–42,1–1,M&T Bank Stadium,Recap,Baltimore Ravens,Sunny,82,12:00,Baltimore,Maryland,2022
2,3,September 25,at New England Patriots,W 37–26,2–1,Gillette Stadium,Recap,Baltimore Ravens,Mostly cloudy,66,12:00,Foxborough,Massachusetts,2022
3,4,October 2,Buffalo Bills,L 20–23,2–2,M&T Bank Stadium,Recap,Baltimore Ravens,Cloudy showers,52,12:00,Baltimore,Maryland,2022
4,5,October 9,Cincinnati Bengals,W 19–17,3–2,M&T Bank Stadium,Recap,Baltimore Ravens,Clear,60,19:20,Baltimore,Maryland,2022
5,6,October 16,at New York Giants,L 20–24,3–3,MetLife Stadium,Recap,Baltimore Ravens,Fair,60,12:00,East Rutherford,New Jersey,2022
6,7,October 23,Cleveland Browns,W 23–20,4–3,M&T Bank Stadium,Recap,Baltimore Ravens,Cloudy,64,12:00,Baltimore,Maryland,2022
7,8,October 27,at Tampa Bay Buccaneers,W 27–22,5–3,Raymond James Stadium,Recap,Baltimore Ravens,Cloudy,79,19:20,Tampa,Florida,2022
8,9,November 7,at New Orleans Saints,W 27–13,6–3,Caesars Superdome,Recap,Baltimore Ravens,None (indoor stadium),72,20:15,New Orleans,Louisiana,2022
9,10,Bye,Bye,Bye,Bye,Bye,Bye,Baltimore Ravens,,,,,,2022
10,11,November 20,Carolina Panthers,W 13–3,7–3,M&T Bank Stadium,Recap,Baltimore Ravens,Sunny,36,13:00,Baltimore,Maryland,2022
11,12,November 27,at Jacksonville Jaguars,L 27–28,7–4,TIAA Bank Field,Recap,Baltimore Ravens,,74,13:25,Jacksonville,Florida,2022
12,13,December 4,Denver Broncos,W 10–9,8–4,M&T Bank Stadium,Recap,Baltimore Ravens,Clear,43,13:00,Baltimore,Maryland,2022
13,14,December 11,at Pittsburgh Steelers,W 16–14,9–4,Acrisure Stadium,Recap,Baltimore Ravens,Cloudy,43,13:00,Pittsburgh,Pennsylvania,2022
14,15,December 17,at Cleveland Browns,L 3–13,9–5,FirstEnergy Stadium,Recap,Baltimore Ravens,Cloudy,32,16:30,Cleveland,Ohio,2022
15,16,December 24,Atlanta Falcons,W 17–9,10–5,M&T Bank Stadium,Recap,Baltimore Ravens,Clear,17,13:00,Baltimore,Maryland,2022
16,17,January 1,Pittsburgh Steelers,L 13–16,10–6,M&T Bank Stadium,Recap,Baltimore Ravens,Clear,50,20:20,Baltimore,Maryland,2022
17,18,January 8,at Cincinnati Bengals,L 16–27,10–7,Paycor Stadium,Recap,Baltimore Ravens,Cloudy,40,13:00,Cincinnati,Ohio,2022
