,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 8,at Los Angeles Rams,W 31–10,1–0,SoFi Stadium,Recap,Buffalo Bills,Cloudy,88,19:20,Inglewood,California,2022
1,2,September 19,Tennessee Titans,W 41–7,2–0,Highmark Stadium,Recap,Buffalo Bills,Partly cloudy,70,18:15,Orchard Park,New York,2022
2,3,September 25,at Miami Dolphins,L 19–21,2–1,Hard Rock Stadium,Recap,Buffalo Bills,Partly sunny,89,12:00,Miami Gardens,Florida,2022
3,4,October 2,at Baltimore Ravens,W 23–20,3–1,M&T Bank Stadium,Recap,Buffalo Bills,Cloudy showers,52,12:00,Baltimore,Maryland,2022
4,5,October 9,Pittsburgh Steelers,W 38–3,4–1,Highmark Stadium,Recap,Buffalo Bills,Mostly cloudy,55,12:00,Orchard Park,New York,2022
5,6,October 16,at Kansas City Chiefs,W 24–20,5–1,Arrowhead Stadium,Recap,Buffalo Bills,,62,15:25,Kansas City,Missouri,2022
6,7,Bye,Bye,Bye,Bye,Bye,Bye,Buffalo Bills,,,,,,2022
7,8,October 30,Green Bay Packers,W 27–17,6–1,Highmark Stadium,Recap,Buffalo Bills,Partly cloudy,50,19:20,Orchard Park,New York,2022
8,9,November 6,at New York Jets,L 17–20,6–2,MetLife Stadium,Recap,Buffalo Bills,Warm and overcast,76,13:00,East Rutherford,New Jersey,2022
9,10,November 13,Minnesota Vikings,L 30–33 (OT),6–3,Highmark Stadium,Recap,Buffalo Bills,Cloudy,38,13:00,Orchard Park,New York,2022
10,11,November 20,Cleveland Browns,W 31–23,7–3,Ford Field[I],Recap,Buffalo Bills,None (indoor stadium),72,13:00,Detroit,Michigan[I],2022
11,12,November 24,at Detroit Lions,W 28–25,8–3,Ford Field,Recap,Buffalo Bills,None (indoor stadium),72,12:30,Detroit,Michigan,2022
12,13,December 1,at New England Patriots,W 24–10,9–3,Gillette Stadium,Recap,Buffalo Bills,Clear,35,20:15,Foxborough,Massachusetts,2022
13,14,December 11,New York Jets,W 20–12,10–3,Highmark Stadium,Recap,Buffalo Bills,Rain showers,37,13:00,Orchard Park,New York,2022
14,15,December 17,Miami Dolphins,W 32–29,11–3,Highmark Stadium,Recap,Buffalo Bills,Cloudy,30,20:15,Orchard Park,New York,2022
15,16,December 24,at Chicago Bears,W 35–13,12–3,Soldier Field,Recap,Buffalo Bills,Mostly sunny,9,13:00,Chicago,Illinois,2022
16,17,January 2[II],at Cincinnati Bengals,No contest[65],No contest[65],No contest[65],No contest[65],Buffalo Bills,,,,,,2022
17,18,January 8,New England Patriots,W 35–23,13–3,Highmark Stadium,Recap,Buffalo Bills,Cloudy,31,13:00,Orchard Park,New York,2022
