,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,Cleveland Browns,L 24–26,0–1,Bank of America Stadium,Recap,Carolina Panthers,Cloudy,80,12:00,Charlotte,North Carolina,2022
1,2,September 18,at New York Giants,L 16–19,0–2,MetLife Stadium,Recap,Carolina Panthers,Fair,73,12:00,East Rutherford,New Jersey,2022
2,3,September 25,New Orleans Saints,W 22–14,1–2,Bank of America Stadium,Recap,Carolina Panthers,Partly cloudy,68,12:00,Charlotte,North Carolina,2022
3,4,October 2,Arizona Cardinals,L 16–26,1–3,Bank of America Stadium,Recap,Carolina Panthers,Mostly cloudy,65,15:05,Charlotte,North Carolina,2022
4,5,October 9,San Francisco 49ers,L 15–37,1–4,Bank of America Stadium,Recap,Carolina Panthers,Sunny,68,15:05,Charlotte,North Carolina,2022
5,6,October 16,at Los Angeles Rams,L 10–24,1–5,SoFi Stadium,Recap,Carolina Panthers,Cloudy,72,15:05,Inglewood,California,2022
6,7,October 23,Tampa Bay Buccaneers,W 21–3,2–5,Bank of America Stadium,Recap,Carolina Panthers,Sunny,67,12:00,Charlotte,North Carolina,2022
7,8,October 30,at Atlanta Falcons,L 34–37 (OT),2–6,Mercedes-Benz Stadium,Recap,Carolina Panthers,None (retractable roof closed),72,12:00,Atlanta,Georgia,2022
8,9,November 6,at Cincinnati Bengals,L 21–42,2–7,Paycor Stadium,Recap,Carolina Panthers,Sunny,70,13:00,Cincinnati,Ohio,2022
9,10,November 10,Atlanta Falcons,W 25–15,3–7,Bank of America Stadium,Recap,Carolina Panthers,Light rain,60,20:15,Charlotte,North Carolina,2022
10,11,November 20,at Baltimore Ravens,L 3–13,3–8,M&T Bank Stadium,Recap,Carolina Panthers,Sunny,36,13:00,Baltimore,Maryland,2022
11,12,November 27,Denver Broncos,W 23–10,4–8,Bank of America Stadium,Recap,Carolina Panthers,Cloudy,65,13:00,Charlotte,North Carolina,2022
12,13,Bye,Bye,Bye,Bye,Bye,Bye,Carolina Panthers,,,,,,2022
13,14,December 11,at Seattle Seahawks,W 30–24,5–8,Lumen Field,Recap,Carolina Panthers,Cloudy,45,16:25,Seattle,Washington,2022
14,15,December 18,Pittsburgh Steelers,L 16–24,5–9,Bank of America Stadium,Recap,Carolina Panthers,Sunny,46,13:00,Charlotte,North Carolina,2022
15,16,December 24,Detroit Lions,W 37–23,6–9,Bank of America Stadium,Recap,Carolina Panthers,Sunny,20,13:00,Charlotte,North Carolina,2022
16,17,January 1,at Tampa Bay Buccaneers,L 24–30,6–10,Raymond James Stadium,Recap,Carolina Panthers,Cloudy,73,13:00,Tampa,Florida,2022
17,18,January 8,at New Orleans Saints,W 10–7,7–10,Caesars Superdome,Recap,Carolina Panthers,None (indoor stadium),72,13:00,New Orleans,Louisiana,2022
