,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,San Francisco 49ers,W 19–10,1–0,Soldier Field,Recap,Chicago Bears,Cloudy rain,69,12:00,Chicago,Illinois,2022
1,2,September 18,at Green Bay Packers,L 10–27,1–1,Lambeau Field,Recap,Chicago Bears,Cloudy,73,19:20,Green Bay,Wisconsin,2022
2,3,September 25,Houston Texans,W 23–20,2–1,Soldier Field,Recap,Chicago Bears,Cloudy,66,12:00,Chicago,Illinois,2022
3,4,October 2,at New York Giants,L 12–20,2–2,MetLife Stadium,Recap,Chicago Bears,Overcast,58,12:00,East Rutherford,New Jersey,2022
4,5,October 9,at Minnesota Vikings,L 22–29,2–3,U.S. Bank Stadium,Recap,Chicago Bears,None (indoor stadium),72,12:00,Minneapolis,Minnesota,2022
5,6,October 13,Washington Commanders,L 7–12,2–4,Soldier Field,Recap,Chicago Bears,Cloudy,46,19:15,Chicago,Illinois,2022
6,7,October 24,at New England Patriots,W 33–14,3–4,Gillette Stadium,Recap,Chicago Bears,Foggy,56,19:15,Foxborough,Massachusetts,2022
7,8,October 30,at Dallas Cowboys,L 29–49,3–5,AT&T Stadium,Recap,Chicago Bears,,66,12:00,Arlington,Texas,2022
8,9,November 6,Miami Dolphins,L 32–35,3–6,Soldier Field,Recap,Chicago Bears,Sunny,62,13:00,Chicago,Illinois,2022
9,10,November 13,Detroit Lions,L 30–31,3–7,Soldier Field,Recap,Chicago Bears,Scattered clouds,34,13:00,Chicago,Illinois,2022
10,11,November 20,at Atlanta Falcons,L 24–27,3–8,Mercedes-Benz Stadium,Recap,Chicago Bears,None (retractable roof closed),72,13:00,Atlanta,Georgia,2022
11,12,November 27,at New York Jets,L 10–31,3–9,MetLife Stadium,Recap,Chicago Bears,Rain,52,13:00,East Rutherford,New Jersey,2022
12,13,December 4,Green Bay Packers,L 19–28,3–10,Soldier Field,Recap,Chicago Bears,Sunny,34,13:00,Chicago,Illinois,2022
13,14,Bye,Bye,Bye,Bye,Bye,Bye,Chicago Bears,,,,,,2022
14,15,December 18,Philadelphia Eagles,L 20–25,3–11,Soldier Field,Recap,Chicago Bears,Sunny,18,13:00,Chicago,Illinois,2022
