,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Carolina Panthers,W 26–24,1–0,Bank of America Stadium,Recap,Cleveland Browns,Cloudy,80,12:00,Charlotte,North Carolina,2022
1,2,September 18,New York Jets,L 30–31,1–1,FirstEnergy Stadium,Recap,Cleveland Browns,Sunny,80,12:00,Cleveland,Ohio,2022
2,3,September 22,Pittsburgh Steelers,W 29–17,2–1,FirstEnergy Stadium,Recap,Cleveland Browns,Cloudy,60,19:15,Cleveland,Ohio,2022
3,4,October 2,at Atlanta Falcons,L 20–23,2–2,Mercedes-Benz Stadium,Recap,Cleveland Browns,Sunny,72,12:00,Atlanta,Georgia,2022
4,5,October 9,Los Angeles Chargers,L 28–30,2–3,FirstEnergy Stadium,Recap,Cleveland Browns,Sunny,59,12:00,Cleveland,Ohio,2022
5,6,October 16,New England Patriots,L 15–38,2–4,FirstEnergy Stadium,Recap,Cleveland Browns,Sunny,62,12:00,Cleveland,Ohio,2022
6,7,October 23,at Baltimore Ravens,L 20–23,2–5,M&T Bank Stadium,Recap,Cleveland Browns,Cloudy,64,12:00,Baltimore,Maryland,2022
7,8,October 31,Cincinnati Bengals,W 32–13,3–5,FirstEnergy Stadium,Recap,Cleveland Browns,Cloudy,66,19:15,Cleveland,Ohio,2022
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Cleveland Browns,,,,,,2022
9,10,November 13,at Miami Dolphins,L 17–39,3–6,Hard Rock Stadium,Recap,Cleveland Browns,Mostly sunny,85,13:00,Miami Gardens,Florida,2022
10,11,November 20,at Buffalo Bills,L 23–31,3–7,Ford Field[A],Recap,Cleveland Browns,None (indoor stadium),72,13:00,Detroit,Michigan[A],2022
11,12,November 27,Tampa Bay Buccaneers,W 23–17 (OT),4–7,FirstEnergy Stadium,Recap,Cleveland Browns,Rain,56,13:00,Cleveland,Ohio,2022
12,13,December 4,at Houston Texans,W 27–14,5–7,NRG Stadium,Recap,Cleveland Browns,None (retractable roof closed),72,13:00,Houston,Texas,2022
13,14,December 11,at Cincinnati Bengals,L 10–23,5–8,Paycor Stadium,Recap,Cleveland Browns,Mostly cloudy,48,13:00,Cincinnati,Ohio,2022
14,15,December 17,Baltimore Ravens,W 13–3,6–8,FirstEnergy Stadium,Recap,Cleveland Browns,Cloudy,32,16:30,Cleveland,Ohio,2022
15,16,December 24,New Orleans Saints,L 10–17,6–9,FirstEnergy Stadium,Recap,Cleveland Browns,Frigid,6,13:00,Cleveland,Ohio,2022
16,17,January 1,at Washington Commanders,W 24–10,7–9,FedExField,Recap,Cleveland Browns,Sunny,62,13:00,Landover,Maryland,2022
17,18,January 8,at Pittsburgh Steelers,L 14–28,7–10,Acrisure Stadium,Recap,Cleveland Browns,Partly cloudy,39,13:00,Pittsburgh,Pennsylvania,2022
