,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,Tampa Bay Buccaneers,L 3–19,0–1,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),72,19:20,Arlington,Texas,2022
1,2,September 18,Cincinnati Bengals,W 20–17,1–1,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),72,15:25,Arlington,Texas,2022
2,3,September 26,at New York Giants,W 23–16,2–1,MetLife Stadium,Recap,Dallas Cowboys,Fair,66,19:15,East Rutherford,New Jersey,2022
3,4,October 2,Washington Commanders,W 25–10,3–1,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),72,12:00,Arlington,Texas,2022
4,5,October 9,at Los Angeles Rams,W 22–10,4–1,SoFi Stadium,Recap,Dallas Cowboys,Sunny,74,15:25,Inglewood,California,2022
5,6,October 16,at Philadelphia Eagles,L 17–26,4–2,Lincoln Financial Field,Recap,Dallas Cowboys,Clear,63,19:20,Philadelphia,Pennsylvania,2022
6,7,October 23,Detroit Lions,W 24–6,5–2,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),72,12:00,Arlington,Texas,2022
7,8,October 30,Chicago Bears,W 49–29,6–2,AT&T Stadium,Recap,Dallas Cowboys,,66,12:00,Arlington,Texas,2022
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Dallas Cowboys,,,,,,2022
9,10,November 13,at Green Bay Packers,L 28–31 (OT),6–3,Lambeau Field,Recap,Dallas Cowboys,Cloudy,33,16:25,Green Bay,Wisconsin,2022
10,11,November 20,at Minnesota Vikings,W 40–3,7–3,U.S. Bank Stadium,Recap,Dallas Cowboys,None (indoor stadium),72,16:25,Minneapolis,Minnesota,2022
11,12,November 24,New York Giants,W 28–20,8–3,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),72,16:30,Arlington,Texas,2022
12,13,December 4,Indianapolis Colts,W 54–19,9–3,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),72,20:20,Arlington,Texas,2022
13,14,December 11,Houston Texans,W 27–23,10–3,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),72,13:00,Arlington,Texas,2022
14,15,December 18,at Jacksonville Jaguars,L 34–40 (OT),10–4,TIAA Bank Field,Recap,Dallas Cowboys,Sunny,51,13:00,Jacksonville,Florida,2022
15,16,December 24,Philadelphia Eagles,W 40–34,11–4,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),72,16:25,Arlington,Texas,2022
16,17,December 29,at Tennessee Titans,W 27–13,12–4,Nissan Stadium,Recap,Dallas Cowboys,Rain,59,20:15,Nashville,Tennessee,2022
17,18,January 8,at Washington Commanders,L 6–26,12–5,FedExField,Recap,Dallas Cowboys,Cloudy,42,16:25,Landover,Maryland,2022
