,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 12,at Seattle Seahawks,L 16–17,0–1,Lumen Field,Recap,Denver Broncos,Sunny,74,19:15,Seattle,Washington,2022
1,2,September 18,Houston Texans,W 16–9,1–1,Empower Field at Mile High,Recap,Denver Broncos,Sunny,77,15:25,Denver,Colorado,2022
2,3,September 25,San Francisco 49ers,W 11–10,2–1,Empower Field at Mile High,Recap,Denver Broncos,Clear,73,19:20,Denver,Colorado,2022
3,4,October 2,at Las Vegas Raiders,L 23–32,2–2,Allegiant Stadium,Recap,Denver Broncos,None (indoor stadium),72,15:25,Paradise,Nevada,2022
4,5,October 6,Indianapolis Colts,L 9–12 (OT),2–3,Empower Field at Mile High,Recap,Denver Broncos,Partly cloudy,69,19:15,Denver,Colorado,2022
5,6,October 17,at Los Angeles Chargers,L 16–19 (OT),2–4,SoFi Stadium,Recap,Denver Broncos,None (retractable roof closed),72,19:15,Inglewood,California,2022
6,7,October 23,New York Jets,L 9–16,2–5,Empower Field at Mile High,Recap,Denver Broncos,,64,15:05,Denver,Colorado,2022
7,8,October 30,at Jacksonville Jaguars,W 21–17,3–5,Wembley Stadium (London),Recap,Denver Broncos,Mostly cloudy,61,12:30,London,England,2022
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Denver Broncos,,,,,,2022
9,10,November 13,at Tennessee Titans,L 10–17,3–6,Nissan Stadium,Recap,Denver Broncos,Cloudy,35,13:00,Nashville,Tennessee,2022
10,11,November 20,Las Vegas Raiders,L 16–22 (OT),3–7,Empower Field at Mile High,Recap,Denver Broncos,Sunny,46,16:05,Denver,Colorado,2022
11,12,November 27,at Carolina Panthers,L 10–23,3–8,Bank of America Stadium,Recap,Denver Broncos,Cloudy,65,13:00,Charlotte,North Carolina,2022
12,13,December 4,at Baltimore Ravens,L 9–10,3–9,M&T Bank Stadium,Recap,Denver Broncos,Clear,43,13:00,Baltimore,Maryland,2022
13,14,December 11,Kansas City Chiefs,L 28–34,3–10,Empower Field at Mile High,Recap,Denver Broncos,Sunny,62,16:05,Denver,Colorado,2022
14,15,December 18,Arizona Cardinals,W 24–15,4–10,Empower Field at Mile High,Recap,Denver Broncos,Partly cloudy,39,16:05,Denver,Colorado,2022
15,16,December 25,at Los Angeles Rams,L 14–51,4–11,SoFi Stadium,Recap,Denver Broncos,Sunny,82,16:30,Inglewood,California,2022
16,17,January 1,at Kansas City Chiefs,L 24–27,4–12,Arrowhead Stadium,Recap,Denver Broncos,,,,,,2022
17,18,January 8,Los Angeles Chargers,W 31–28,5–12,Empower Field at Mile High,Recap,Denver Broncos,Partly cloudy,51,16:25,Denver,Colorado,2022
