,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,Philadelphia Eagles,L 35–38,0–1,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,12:00,Detroit,Michigan,2022
1,2,September 18,Washington Commanders,W 36–27,1–1,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,12:00,Detroit,Michigan,2022
2,3,September 25,at Minnesota Vikings,L 24–28,1–2,U.S. Bank Stadium,Recap,Detroit Lions,None (indoor stadium),72,12:00,Minneapolis,Minnesota,2022
3,4,October 2,Seattle Seahawks,L 45–48,1–3,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,12:00,Detroit,Michigan,2022
4,5,October 9,at New England Patriots,L 0–29,1–4,Gillette Stadium,Recap,Detroit Lions,Sunny,58,12:00,Foxborough,Massachusetts,2022
5,6,Bye,Bye,Bye,Bye,Bye,Bye,Detroit Lions,,,,,,2022
6,7,October 23,at Dallas Cowboys,L 6–24,1–5,AT&T Stadium,Recap,Detroit Lions,None (retractable roof closed),72,12:00,Arlington,Texas,2022
7,8,October 30,Miami Dolphins,L 27–31,1–6,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,12:00,Detroit,Michigan,2022
8,9,November 6,Green Bay Packers,W 15–9,2–6,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,13:00,Detroit,Michigan,2022
9,10,November 13,at Chicago Bears,W 31–30,3–6,Soldier Field,Recap,Detroit Lions,Scattered clouds,34,13:00,Chicago,Illinois,2022
10,11,November 20,at New York Giants,W 31–18,4–6,MetLife Stadium,Recap,Detroit Lions,Fair and breezy,35,13:00,East Rutherford,New Jersey,2022
11,12,November 24,Buffalo Bills,L 25–28,4–7,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,12:30,Detroit,Michigan,2022
12,13,December 4,Jacksonville Jaguars,W 40–14,5–7,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,13:00,Detroit,Michigan,2022
13,14,December 11,Minnesota Vikings,W 34–23,6–7,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,13:00,Detroit,Michigan,2022
14,15,December 18,at New York Jets,W 20–17,7–7,MetLife Stadium,Recap,Detroit Lions,Mostly sunny,39,13:00,East Rutherford,New Jersey,2022
15,16,December 24,at Carolina Panthers,L 23–37,7–8,Bank of America Stadium,Recap,Detroit Lions,Sunny,20,13:00,Charlotte,North Carolina,2022
16,17,January 1,Chicago Bears,W 41–10,8–8,Ford Field,Recap,Detroit Lions,None (indoor stadium),72,13:00,Detroit,Michigan,2022
17,18,January 8,at Green Bay Packers,W 20–16,9–8,Lambeau Field,Recap,Detroit Lions,Cloudy,21,20:20,Green Bay,Wisconsin,2022
