,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Minnesota Vikings,L 7–23,0–1,U.S. Bank Stadium,Recap,Green Bay Packers,None (indoor stadium),72,15:25,Minneapolis,Minnesota,2022
1,2,September 18,Chicago Bears,W 27–10,1–1,Lambeau Field,Recap,Green Bay Packers,Cloudy,73,19:20,Green Bay,Wisconsin,2022
2,3,September 25,at Tampa Bay Buccaneers,W 14–12,2–1,Raymond James Stadium,Recap,Green Bay Packers,Cloudy,88,15:25,Tampa,Florida,2022
3,4,October 2,New England Patriots,W 27–24 (OT),3–1,Lambeau Field,Recap,Green Bay Packers,Sunny,66,15:25,Green Bay,Wisconsin,2022
4,5,October 9,New York Giants,L 22–27,3–2,Tottenham Hotspur Stadium (London),Recap,Green Bay Packers,Sunny,64,13:30,London,England,2022
5,6,October 16,New York Jets,L 10–27,3–3,Lambeau Field,Recap,Green Bay Packers,Cloudy,49,12:00,Green Bay,Wisconsin,2022
6,7,October 23,at Washington Commanders,L 21–23,3–4,FedExField,Recap,Green Bay Packers,Cloudy,62,12:00,Landover,Maryland,2022
7,8,October 30,at Buffalo Bills,L 17–27,3–5,Highmark Stadium,Recap,Green Bay Packers,Partly cloudy,50,19:20,Orchard Park,New York,2022
8,9,November 6,at Detroit Lions,L 9–15,3–6,Ford Field,Recap,Green Bay Packers,None (indoor stadium),72,13:00,Detroit,Michigan,2022
9,10,November 13,Dallas Cowboys,W 31–28 (OT),4–6,Lambeau Field,Recap,Green Bay Packers,Cloudy,33,16:25,Green Bay,Wisconsin,2022
10,11,November 17,Tennessee Titans,L 17–27,4–7,Lambeau Field,Recap,Green Bay Packers,Cloudy,26,20:20,Green Bay,Wisconsin,2022
11,12,November 27,at Philadelphia Eagles,L 33–40,4–8,Lincoln Financial Field,Recap,Green Bay Packers,Cloudy,61,20:20,Philadelphia,Pennsylvania,2022
12,13,December 4,at Chicago Bears,W 28–19,5–8,Soldier Field,Recap,Green Bay Packers,Sunny,34,13:00,Chicago,Illinois,2022
13,14,Bye,Bye,Bye,Bye,Bye,Bye,Green Bay Packers,,,,,,2022
14,15,December 19,Los Angeles Rams,W 24–12,6–8,Lambeau Field,Recap,Green Bay Packers,Cloudy,15,20:20,Green Bay,Wisconsin,2022
15,16,December 25,at Miami Dolphins,W 26–20,7–8,Hard Rock Stadium,Recap,Green Bay Packers,,46,13:00,Miami Gardens,Florida,2022
16,17,"January 1, 2023",Minnesota Vikings,W 41–17,8–8,Lambeau Field,Recap,Green Bay Packers,,,,,,2022
17,18,"January 8, 2023",Detroit Lions,L 16–20,8–9,Lambeau Field,Recap,Green Bay Packers,,,,,,2022
