,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,Indianapolis Colts,T 20–20 (OT),0–0–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,12:00,Houston,Texas,2022
1,2,September 18,at Denver Broncos,L 9–16,0–1–1,Empower Field at Mile High,Recap,Houston Texans,Sunny,77,15:25,Denver,Colorado,2022
2,3,September 25,at Chicago Bears,L 20–23,0–2–1,Soldier Field,Recap,Houston Texans,Cloudy,66,12:00,Chicago,Illinois,2022
3,4,October 2,Los Angeles Chargers,L 24–34,0–3–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,12:00,Houston,Texas,2022
4,5,October 9,at Jacksonville Jaguars,W 13–6,1–3–1,TIAA Bank Field,Recap,Houston Texans,Partly cloudy and sunny,80,12:00,Jacksonville,Florida,2022
5,6,Bye,Bye,Bye,Bye,Bye,Bye,Houston Texans,,,,,,2022
6,7,October 23,at Las Vegas Raiders,L 20–38,1–4–1,Allegiant Stadium,Recap,Houston Texans,None (indoor stadium),72,15:05,Paradise,Nevada,2022
7,8,October 30,Tennessee Titans,L 10–17,1–5–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,15:05,Houston,Texas,2022
8,9,November 3,Philadelphia Eagles,L 17–29,1–6–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,19:15,Houston,Texas,2022
9,10,November 13,at New York Giants,L 16–24,1–7–1,MetLife Stadium,Recap,Houston Texans,Partly sunny,50,13:00,East Rutherford,New Jersey,2022
10,11,November 20,Washington Commanders,L 10–23,1–8–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:00,Houston,Texas,2022
11,12,November 27,at Miami Dolphins,L 15–30,1–9–1,Hard Rock Stadium,Recap,Houston Texans,Partly cloudy,87,13:00,Miami Gardens,Florida,2022
12,13,December 4,Cleveland Browns,L 14–27,1–10–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:00,Houston,Texas,2022
13,14,December 11,at Dallas Cowboys,L 23–27,1–11–1,AT&T Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:00,Arlington,Texas,2022
14,15,December 18,Kansas City Chiefs,L 24–30 (OT),1–12–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:00,Houston,Texas,2022
15,16,December 24,at Tennessee Titans,W 19–14,2–12–1,Nissan Stadium,Recap,Houston Texans,Clear,20,14:00,Nashville,Tennessee,2022
16,17,January 1,Jacksonville Jaguars,L 3–31,2–13–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:00,Houston,Texas,2022
17,18,January 8,at Indianapolis Colts,W 32–31,3–13–1,Lucas Oil Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:00,Indianapolis,Indiana,2022
