,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Arizona Cardinals,W 44–21,1–0,State Farm Stadium,Recap,Kansas City Chiefs,None (retractable roof closed),72,15:25,Glendale,Arizona,2022
1,2,September 15,Los Angeles Chargers,W 27–24,2–0,Arrowhead Stadium,Recap,Kansas City Chiefs,,81,19:15,Kansas City,Missouri,2022
2,3,September 25,at Indianapolis Colts,L 17–20,2–1,Lucas Oil Stadium,Recap,Kansas City Chiefs,Cloudy,65,12:00,Indianapolis,Indiana,2022
3,4,October 2,at Tampa Bay Buccaneers,W 41–31,3–1,Raymond James Stadium,Recap,Kansas City Chiefs,Clear,75,19:20,Tampa,Florida,2022
4,5,October 10,Las Vegas Raiders,W 30–29,4–1,Arrowhead Stadium,Recap,Kansas City Chiefs,Cloudy,77,19:15,Kansas City,Missouri,2022
5,6,October 16,Buffalo Bills,L 20–24,4–2,Arrowhead Stadium,Recap,Kansas City Chiefs,,62,15:25,Kansas City,Missouri,2022
6,7,October 23,at San Francisco 49ers,W 44–23,5–2,Levi's Stadium,Recap,Kansas City Chiefs,Clear sunny,64,15:25,Santa Clara,California,2022
7,8,Bye,Bye,Bye,Bye,Bye,Bye,Kansas City Chiefs,,,,,,2022
8,9,November 6,Tennessee Titans,W 20–17 (OT),6–2,Arrowhead Stadium,Recap,Kansas City Chiefs,,58,20:20,Kansas City,Missouri,2022
9,10,November 13,Jacksonville Jaguars,W 27–17,7–2,Arrowhead Stadium,Recap,Kansas City Chiefs,,33,13:00,Kansas City,Missouri,2022
10,11,November 20,at Los Angeles Chargers,W 30–27,8–2,SoFi Stadium,Recap,Kansas City Chiefs,,67,20:20,Inglewood,California,2022
11,12,November 27,Los Angeles Rams,W 26–10,9–2,Arrowhead Stadium,Recap,Kansas City Chiefs,,44,16:25,Kansas City,Missouri,2022
12,13,December 4,at Cincinnati Bengals,L 24–27,9–3,Paycor Stadium,Recap,Kansas City Chiefs,Sunny,41,16:25,Cincinnati,Ohio,2022
13,14,December 11,at Denver Broncos,W 34–28,10–3,Empower Field at Mile High,Recap,Kansas City Chiefs,Sunny,62,16:05,Denver,Colorado,2022
14,15,December 18,at Houston Texans,W 30–24 (OT),11–3,NRG Stadium,Recap,Kansas City Chiefs,None (retractable roof closed),72,13:00,Houston,Texas,2022
15,16,December 24,Seattle Seahawks,W 24–10,12–3,Arrowhead Stadium,Recap,Kansas City Chiefs,,12,13:00,Kansas City,Missouri,2022
16,17,January 1,Denver Broncos,W 27–24,13–3,Arrowhead Stadium,Recap,Kansas City Chiefs,,53,13:00,Kansas City,Missouri,2022
17,18,January 7,at Las Vegas Raiders,W 31–13,14–3,Allegiant Stadium,Recap,Kansas City Chiefs,None (indoor stadium),72,16:30,Paradise,Nevada,2022
