,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Los Angeles Chargers,L 19–24,0–1,SoFi Stadium,Recap,Las Vegas Raiders,None (retractable roof closed),72,15:25,Inglewood,California,2022
1,2,September 18,Arizona Cardinals,L 23–29 (OT),0–2,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),72,15:25,Paradise,Nevada,2022
2,3,September 25,at Tennessee Titans,L 22–24,0–3,Nissan Stadium,Recap,Las Vegas Raiders,Cloudy,77,12:00,Nashville,Tennessee,2022
3,4,October 2,Denver Broncos,W 32–23,1–3,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),72,15:25,Paradise,Nevada,2022
4,5,October 10,at Kansas City Chiefs,L 29–30,1–4,Arrowhead Stadium,Recap,Las Vegas Raiders,Cloudy,77,19:15,Kansas City,Missouri,2022
5,6,Bye,Bye,Bye,Bye,Bye,Bye,Las Vegas Raiders,,,,,,2022
6,7,October 23,Houston Texans,W 38–20,2–4,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),72,15:05,Paradise,Nevada,2022
7,8,October 30,at New Orleans Saints,L 0–24,2–5,Caesars Superdome,Recap,Las Vegas Raiders,None (indoor stadium),72,12:00,New Orleans,Louisiana,2022
8,9,November 6,at Jacksonville Jaguars,L 20–27,2–6,TIAA Bank Field,Recap,Las Vegas Raiders,,81,13:00,Jacksonville,Florida,2022
9,10,November 13,Indianapolis Colts,L 20–25,2–7,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),72,16:05,Paradise,Nevada,2022
10,11,November 20,at Denver Broncos,W 22–16 (OT),3–7,Empower Field at Mile High,Recap,Las Vegas Raiders,Sunny,46,16:05,Denver,Colorado,2022
11,12,November 27,at Seattle Seahawks,W 40–34 (OT),4–7,Lumen Field,Recap,Las Vegas Raiders,Partly cloudy,45,16:05,Seattle,Washington,2022
12,13,December 4,Los Angeles Chargers,W 27–20,5–7,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),72,16:25,Paradise,Nevada,2022
13,14,December 8,at Los Angeles Rams,L 16–17,5–8,SoFi Stadium,Recap,Las Vegas Raiders,Clear,57,20:15,Inglewood,California,2022
14,15,December 18,New England Patriots,W 30–24,6–8,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),72,16:05,Paradise,Nevada,2022
15,16,December 24,at Pittsburgh Steelers,L 10–13,6–9,Acrisure Stadium,Recap,Las Vegas Raiders,Cold,8,20:15,Pittsburgh,Pennsylvania,2022
16,17,January 1,San Francisco 49ers,L 34–37 (OT),6–10,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),72,16:05,Paradise,Nevada,2022
17,18,January 7,Kansas City Chiefs,L 13–31,6–11,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),72,16:30,Paradise,Nevada,2022
