,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,Las Vegas Raiders,W 24–19,1–0,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),72,15:25,Inglewood,California,2022
1,2,September 15,at Kansas City Chiefs,L 24–27,1–1,Arrowhead Stadium,Recap,Los Angeles Chargers,,81,19:15,Kansas City,Missouri,2022
2,3,September 25,Jacksonville Jaguars,L 10–38,1–2,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),72,15:05,Inglewood,California,2022
3,4,October 2,at Houston Texans,W 34–24,2–2,NRG Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),72,12:00,Houston,Texas,2022
4,5,October 9,at Cleveland Browns,W 30–28,3–2,FirstEnergy Stadium,Recap,Los Angeles Chargers,Sunny,59,12:00,Cleveland,Ohio,2022
5,6,October 17,Denver Broncos,W 19–16 (OT),4–2,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),72,19:15,Inglewood,California,2022
6,7,October 23,Seattle Seahawks,L 23–37,4–3,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),72,15:25,Inglewood,California,2022
7,8,Bye,Bye,Bye,Bye,Bye,Bye,Los Angeles Chargers,,,,,,2022
8,9,November 6,at Atlanta Falcons,W 20–17,5–3,Mercedes-Benz Stadium,Recap,Los Angeles Chargers,Cloudy,80,13:00,Atlanta,Georgia,2022
9,10,November 13,at San Francisco 49ers,L 16–22,5–4,Levi's Stadium,Recap,Los Angeles Chargers,Clear,58,20:20,Santa Clara,California,2022
10,11,November 20,Kansas City Chiefs,L 27–30,5–5,SoFi Stadium,Recap,Los Angeles Chargers,,67,20:20,Inglewood,California,2022
11,12,November 27,at Arizona Cardinals,W 25–24,6–5,State Farm Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),72,16:05,Glendale,Arizona,2022
12,13,December 4,at Las Vegas Raiders,L 20–27,6–6,Allegiant Stadium,Recap,Los Angeles Chargers,None (indoor stadium),72,16:25,Paradise,Nevada,2022
13,14,December 11,Miami Dolphins,W 23–17,7–6,SoFi Stadium,Recap,Los Angeles Chargers,,53,20:20,Inglewood,California,2022
14,15,December 18,Tennessee Titans,W 17–14,8–6,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),72,16:25,Inglewood,California,2022
15,16,December 26,at Indianapolis Colts,W 20–3,9–6,Lucas Oil Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),72,20:15,Indianapolis,Indiana,2022
16,17,January 1,Los Angeles Rams,W 31–10,10–6,SoFi Stadium,Recap,Los Angeles Chargers,Cloudy,62,16:25,Inglewood,California,2022
17,18,January 8,at Denver Broncos,L 28–31,10–7,Empower Field at Mile High,Recap,Los Angeles Chargers,Partly cloudy,51,16:25,Denver,Colorado,2022
