,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,Green Bay Packers,W 23–7,1–0,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,15:25,Minneapolis,Minnesota,2022
1,2,September 19,at Philadelphia Eagles,L 7–24,1–1,Lincoln Financial Field,Recap,Minnesota Vikings,Cloudy,76,19:30,Philadelphia,Pennsylvania,2022
2,3,September 25,Detroit Lions,W 28–24,2–1,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,12:00,Minneapolis,Minnesota,2022
3,4,October 2,at New Orleans Saints,W 28–25,3–1,Tottenham Hotspur Stadium (London),Recap,Minnesota Vikings,Partly cloudy,64,13:30,London,United Kingdom,2022
4,5,October 9,Chicago Bears,W 29–22,4–1,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,12:00,Minneapolis,Minnesota,2022
5,6,October 16,at Miami Dolphins,W 24–16,5–1,Hard Rock Stadium,Recap,Minnesota Vikings,Partly cloudy,86,12:00,Miami Gardens,Florida,2022
6,7,Bye,Bye,Bye,Bye,Bye,Bye,Minnesota Vikings,,,,,,2022
7,8,October 30,Arizona Cardinals,W 34–26,6–1,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,12:00,Minneapolis,Minnesota,2022
8,9,November 6,at Washington Commanders,W 20–17,7–1,FedExField,Recap,Minnesota Vikings,Cloudy,76,13:00,Landover,Maryland,2022
9,10,November 13,at Buffalo Bills,W 33–30 (OT),8–1,Highmark Stadium,Recap,Minnesota Vikings,Cloudy,38,13:00,Orchard Park,New York,2022
10,11,November 20,Dallas Cowboys,L 3–40,8–2,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,16:25,Minneapolis,Minnesota,2022
11,12,November 24,New England Patriots,W 33–26,9–2,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,20:20,Minneapolis,Minnesota,2022
12,13,December 4,New York Jets,W 27–22,10–2,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,13:00,Minneapolis,Minnesota,2022
13,14,December 11,at Detroit Lions,L 23–34,10–3,Ford Field,Recap,Minnesota Vikings,None (indoor stadium),72,13:00,Detroit,Michigan,2022
14,15,December 17,Indianapolis Colts,W 39–36 (OT),11–3,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,13:00,Minneapolis,Minnesota,2022
15,16,December 24,New York Giants,W 27–24,12–3,U.S. Bank Stadium,Recap,Minnesota Vikings,None (indoor stadium),72,13:00,Minneapolis,Minnesota,2022
16,17,January 1,at Green Bay Packers,L 17–41,12–4,Lambeau Field,Recap,Minnesota Vikings,Clear,40,16:25,Green Bay,Wisconsin,2022
17,18,January 8,at Chicago Bears,W 29–13,13–4,Soldier Field,Recap,Minnesota Vikings,Mostly cloudy,34,13:00,Chicago,Illinois,2022
