,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Atlanta Falcons,W 27–26,1–0,Mercedes-Benz Stadium,Recap,New Orleans Saints,None (retractable roof closed),72,12:00,Atlanta,Georgia,2022
1,2,September 18,Tampa Bay Buccaneers,L 10–20,1–1,Caesars Superdome,Recap,New Orleans Saints,None (indoor stadium),72,12:00,New Orleans,Louisiana,2022
2,3,September 25,at Carolina Panthers,L 14–22,1–2,Bank of America Stadium,Recap,New Orleans Saints,Partly cloudy,68,12:00,Charlotte,North Carolina,2022
3,4,October 2,Minnesota Vikings,L 25–28,1–3,Tottenham Hotspur Stadium (London),Recap,New Orleans Saints,Partly cloudy,64,13:30,London,England,2022
4,5,October 9,Seattle Seahawks,W 39–32,2–3,Caesars Superdome,Recap,New Orleans Saints,None (indoor stadium),72,12:00,New Orleans,Louisiana,2022
5,6,October 16,Cincinnati Bengals,L 26–30,2–4,Caesars Superdome,Recap,New Orleans Saints,None (indoor stadium),72,12:00,New Orleans,Louisiana,2022
6,7,October 20,at Arizona Cardinals,L 34–42,2–5,State Farm Stadium,Recap,New Orleans Saints,Sunny,89,19:15,Glendale,Arizona,2022
7,8,October 30,Las Vegas Raiders,W 24–0,3–5,Caesars Superdome,Recap,New Orleans Saints,None (indoor stadium),72,12:00,New Orleans,Louisiana,2022
8,9,November 7,Baltimore Ravens,L 13–27,3–6,Caesars Superdome,Recap,New Orleans Saints,None (indoor stadium),72,20:15,New Orleans,Louisiana,2022
9,10,November 13,at Pittsburgh Steelers,L 10–20,3–7,Acrisure Stadium,Recap,New Orleans Saints,Cloudy,41,13:00,Pittsburgh,Pennsylvania,2022
10,11,November 20,Los Angeles Rams,W 27–20,4–7,Caesars Superdome,Recap,New Orleans Saints,None (indoor stadium),72,13:00,New Orleans,Louisiana,2022
11,12,November 27,at San Francisco 49ers,L 0–13,4–8,Levi's Stadium,Recap,New Orleans Saints,Partly cloudy,67,16:25,Santa Clara,California,2022
12,13,December 5,at Tampa Bay Buccaneers,L 16–17,4–9,Raymond James Stadium,Recap,New Orleans Saints,Cloudy,72,20:15,Tampa,Florida,2022
13,14,Bye,Bye,Bye,Bye,Bye,Bye,New Orleans Saints,,,,,,2022
14,15,December 18,Atlanta Falcons,W 21–18,5–9,Caesars Superdome,Recap,New Orleans Saints,None (indoor stadium),72,13:00,New Orleans,Louisiana,2022
15,16,December 24,at Cleveland Browns,W 17–10,6–9,First Energy Stadium,Recap,New Orleans Saints,Frigid,6,13:00,Cleveland,Ohio,2022
16,17,January 1,at Philadelphia Eagles,W 20–10,7–9,Lincoln Financial Field,Recap,New Orleans Saints,Sunny,55,13:00,Philadelphia,Pennsylvania,2022
17,18,January 8,Carolina Panthers,L 7–10,7–10,Caesars Superdome,Recap,New Orleans Saints,None (indoor stadium),72,13:00,New Orleans,Louisiana,2022
