,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,Baltimore Ravens,L 9–24,0–1,MetLife Stadium,Recap,New York Jets,Rain,73,12:00,East Rutherford,New Jersey,2022
1,2,September 18,at Cleveland Browns,W 31–30,1–1,FirstEnergy Stadium,Recap,New York Jets,Sunny,80,12:00,Cleveland,Ohio,2022
2,3,September 25,Cincinnati Bengals,L 12–27,1–2,MetLife Stadium,Recap,New York Jets,Mostly cloudy,66,12:00,East Rutherford,New Jersey,2022
3,4,October 2,at Pittsburgh Steelers,W 24–20,2–2,Acrisure Stadium,Recap,New York Jets,Cloudy,58,12:00,Pittsburgh,Pennsylvania,2022
4,5,October 9,Miami Dolphins,W 40–17,3–2,MetLife Stadium,Recap,New York Jets,Sunny and windy,63,12:00,East Rutherford,New Jersey,2022
5,6,October 16,at Green Bay Packers,W 27–10,4–2,Lambeau Field,Recap,New York Jets,Cloudy,49,12:00,Green Bay,Wisconsin,2022
6,7,October 23,at Denver Broncos,W 16–9,5–2,Empower Field at Mile High,Recap,New York Jets,,64,15:05,Denver,Colorado,2022
7,8,October 30,New England Patriots,L 17–22,5–3,MetLife Stadium,Recap,New York Jets,Mostly sunny,59,12:00,East Rutherford,New Jersey,2022
8,9,November 6,Buffalo Bills,W 20–17,6–3,MetLife Stadium,Recap,New York Jets,Warm and overcast,76,13:00,East Rutherford,New Jersey,2022
9,10,Bye,Bye,Bye,Bye,Bye,Bye,New York Jets,,,,,,2022
10,11,November 20,at New England Patriots,L 3–10,6–4,Gillette Stadium,Recap,New York Jets,Mostly sunny,37,13:00,Foxborough,Massachusetts,2022
11,12,November 27,Chicago Bears,W 31–10,7–4,MetLife Stadium,Recap,New York Jets,Rain,52,13:00,East Rutherford,New Jersey,2022
12,13,December 4,at Minnesota Vikings,L 22–27,7–5,U.S. Bank Stadium,Recap,New York Jets,None (indoor stadium),72,13:00,Minneapolis,Minnesota,2022
13,14,December 11,at Buffalo Bills,L 12–20,7–6,Highmark Stadium,Recap,New York Jets,Rain showers,37,13:00,Orchard Park,New York,2022
14,15,December 18,Detroit Lions,L 17–20,7–7,MetLife Stadium,Recap,New York Jets,Mostly sunny,39,13:00,East Rutherford,New Jersey,2022
15,16,December 22,Jacksonville Jaguars,L 3–19,7–8,MetLife Stadium,Recap,New York Jets,Rain,45,20:15,East Rutherford,New Jersey,2022
16,17,January 1,at Seattle Seahawks,L 6–23,7–9,Lumen Field,Recap,New York Jets,Partly sunny,46,16:05,Seattle,Washington,2022
17,18,January 8,at Miami Dolphins,L 6–11,7–10,Hard Rock Stadium,Recap,New York Jets,,78,13:00,Miami Gardens,Florida,2022
