,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Cincinnati Bengals,W 23–20 (OT),1–0,Paycor Stadium,Recap,Pittsburgh Steelers,Cloudy,76,12:00,Cincinnati,Ohio,2022
1,2,September 18,New England Patriots,L 14–17,1–1,Acrisure Stadium,Recap,Pittsburgh Steelers,Mostly cloudy,81,12:00,Pittsburgh,Pennsylvania,2022
2,3,September 22,at Cleveland Browns,L 17–29,1–2,FirstEnergy Stadium,Recap,Pittsburgh Steelers,Cloudy,60,19:15,Cleveland,Ohio,2022
3,4,October 2,New York Jets,L 20–24,1–3,Acrisure Stadium,Recap,Pittsburgh Steelers,Cloudy,58,12:00,Pittsburgh,Pennsylvania,2022
4,5,October 9,at Buffalo Bills,L 3–38,1–4,Highmark Stadium,Recap,Pittsburgh Steelers,Mostly cloudy,55,12:00,Orchard Park,New York,2022
5,6,October 16,Tampa Bay Buccaneers,W 20–18,2–4,Acrisure Stadium,Recap,Pittsburgh Steelers,Cloudy,62,12:00,Pittsburgh,Pennsylvania,2022
6,7,October 23,at Miami Dolphins,L 10–16,2–5,Hard Rock Stadium,Recap,Pittsburgh Steelers,Partly cloudy,78,19:20,Miami Gardens,Florida,2022
7,8,October 30,at Philadelphia Eagles,L 13–35,2–6,Lincoln Financial Field,Recap,Pittsburgh Steelers,Sunny,61,12:00,Philadelphia,Pennsylvania,2022
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Pittsburgh Steelers,,,,,,2022
9,10,November 13,New Orleans Saints,W 20–10,3–6,Acrisure Stadium,Recap,Pittsburgh Steelers,Cloudy,41,13:00,Pittsburgh,Pennsylvania,2022
10,11,November 20,Cincinnati Bengals,L 30–37,3–7,Acrisure Stadium,Recap,Pittsburgh Steelers,Mostly sunny,32,16:25,Pittsburgh,Pennsylvania,2022
11,12,November 28,at Indianapolis Colts,W 24–17,4–7,Lucas Oil Stadium,Recap,Pittsburgh Steelers,None (retractable roof closed),72,20:15,Indianapolis,Indiana,2022
12,13,December 4,at Atlanta Falcons,W 19–16,5–7,Mercedes-Benz Stadium,Recap,Pittsburgh Steelers,None (retractable roof closed),72,13:00,Atlanta,Georgia,2022
13,14,December 11,Baltimore Ravens,L 14–16,5–8,Acrisure Stadium,Recap,Pittsburgh Steelers,Cloudy,43,13:00,Pittsburgh,Pennsylvania,2022
14,15,December 18,at Carolina Panthers,W 24–16,6–8,Bank of America Stadium,Recap,Pittsburgh Steelers,Sunny,46,13:00,Charlotte,North Carolina,2022
15,16,December 24,Las Vegas Raiders,W 13–10,7–8,Acrisure Stadium,Recap,Pittsburgh Steelers,Cold,8,20:15,Pittsburgh,Pennsylvania,2022
16,17,January 1,at Baltimore Ravens,W 16–13,8–8,M&T Bank Stadium,Recap,Pittsburgh Steelers,Clear,50,20:20,Baltimore,Maryland,2022
17,18,January 8,Cleveland Browns,W 28–14,9–8,Acrisure Stadium,Recap,Pittsburgh Steelers,Partly cloudy,39,13:00,Pittsburgh,Pennsylvania,2022
