,Week,Date,Opponent,Result,Record,Venue,Recap,Unnamed: 7,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Chicago Bears,L 10–19,0–1,Soldier Field,Recap,,San Francisco 49ers,Cloudy rain,69,12:00,Chicago,Illinois,2022
1,2,September 18,Seattle Seahawks,W 27–7,1–1,Levi's Stadium,Recap,,San Francisco 49ers,,63,15:05,Santa Clara,California,2022
2,3,September 25,at Denver Broncos,L 10–11,1–2,Empower Field at Mile High,Recap,,San Francisco 49ers,Clear,73,19:20,Denver,Colorado,2022
3,4,October 3,Los Angeles Rams,W 24–9,2–2,Levi's Stadium,Recap,,San Francisco 49ers,Clear,73,19:15,Santa Clara,California,2022
4,5,October 9,at Carolina Panthers,W 37–15,3–2,Bank of America Stadium,Recap,,San Francisco 49ers,Sunny,68,15:05,Charlotte,North Carolina,2022
5,6,October 16,at Atlanta Falcons,L 14–28,3–3,Mercedes-Benz Stadium,Recap,,San Francisco 49ers,Sunny,77,12:00,Atlanta,Georgia,2022
6,7,October 23,Kansas City Chiefs,L 23–44,3–4,Levi's Stadium,Recap,,San Francisco 49ers,Sunny,64,15:25,Santa Clara,California,2022
7,8,October 30,at Los Angeles Rams,W 31–14,4–4,SoFi Stadium,Recap,,San Francisco 49ers,Sunny,75,15:25,Inglewood,California,2022
8,9,Bye,Bye,Bye,Bye,Bye,Bye,,San Francisco 49ers,,,,,,2022
9,10,November 13,Los Angeles Chargers,W 22–16,5–4,Levi's Stadium,Recap,,San Francisco 49ers,Clear,58,20:20,Santa Clara,California,2022
10,11,November 21,at Arizona Cardinals,W 38–10,6–4,Estadio Azteca (Mexico City),Recap,,San Francisco 49ers,Rain,60,20:15,Mexico City,Mexico,2022
11,12,November 27,New Orleans Saints,W 13–0,7–4,Levi's Stadium,Recap,,San Francisco 49ers,Partly cloudy,67,16:25,Santa Clara,California,2022
12,13,December 4,Miami Dolphins,W 33–17,8–4,Levi's Stadium,Recap,,San Francisco 49ers,Cloudy,58,16:05,Santa Clara,California,2022
13,14,December 11,Tampa Bay Buccaneers,W 35–7,9–4,Levi's Stadium,Recap,,San Francisco 49ers,Cloudy,54,16:25,Santa Clara,California,2022
14,15,December 15,at Seattle Seahawks,W 21–13,10–4,Lumen Field,Recap,,San Francisco 49ers,Clear,39,20:15,Seattle,Washington,2022
15,16,December 24,Washington Commanders,W 37–20,11–4,Levi's Stadium,Recap,,San Francisco 49ers,Hazy,62,16:05,Santa Clara,California,2022
16,17,"January 1, 2023",at Las Vegas Raiders,W 37–34 (OT),12–4,Allegiant Stadium,Recap,,San Francisco 49ers,,,,,,2022
17,18,"January 8, 2023",Arizona Cardinals,W 38–13,13–4,Levi's Stadium,Recap,,San Francisco 49ers,,,,,,2022
18,Note: Intra-division opponents are in bold text.,Note: Intra-division opponents are in bold text.,Note: Intra-division opponents are in bold text.,Note: Intra-division opponents are in bold text.,Note: Intra-division opponents are in bold text.,Note: Intra-division opponents are in bold text.,Note: Intra-division opponents are in bold text.,Note: Intra-division opponents are in bold text.,San Francisco 49ers,,,,,,2022
