,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 12,Denver Broncos,W 17–16,1–0,Lumen Field,Recap,Seattle Seahawks,Sunny,74,19:15,Seattle,Washington,2022
1,2,September 18,at San Francisco 49ers,L 7–27,1–1,Levi's Stadium,Recap,Seattle Seahawks,,63,15:05,Santa Clara,California,2022
2,3,September 25,Atlanta Falcons,L 23–27,1–2,Lumen Field,Recap,Seattle Seahawks,Sunny,67,15:25,Seattle,Washington,2022
3,4,October 2,at Detroit Lions,W 48–45,2–2,Ford Field,Recap,Seattle Seahawks,None (indoor stadium),72,12:00,Detroit,Michigan,2022
4,5,October 9,at New Orleans Saints,L 32–39,2–3,Caesars Superdome,Recap,Seattle Seahawks,None (indoor stadium),72,12:00,New Orleans,Louisiana,2022
5,6,October 16,Arizona Cardinals,W 19–9,3–3,Lumen Field,Recap,Seattle Seahawks,Sunny,72,12:05,Seattle,Washington,2022
6,7,October 23,at Los Angeles Chargers,W 37–23,4–3,SoFi Stadium,Recap,Seattle Seahawks,None (retractable roof closed),72,15:25,Inglewood,California,2022
7,8,October 30,New York Giants,W 27–13,5–3,Lumen Field,Recap,Seattle Seahawks,Rain,54,15:25,Seattle,Washington,2022
8,9,November 6,at Arizona Cardinals,W 31–21,6–3,State Farm Stadium,Recap,Seattle Seahawks,Sunny,76,16:05,Glendale,Arizona,2022
9,10,November 13,at Tampa Bay Buccaneers,L 16–21,6–4,Allianz Arena (Munich),Recap,Seattle Seahawks,Sunny,48,15:30,Munich,Germany,2022
10,11,Bye,Bye,Bye,Bye,Bye,Bye,Seattle Seahawks,,,,,,2022
11,12,November 27,Las Vegas Raiders,L 34–40 (OT),6–5,Lumen Field,Recap,Seattle Seahawks,Partly cloudy,45,16:05,Seattle,Washington,2022
12,13,December 4,at Los Angeles Rams,W 27–23,7–5,SoFi Stadium,Recap,Seattle Seahawks,Cloudy,64,16:05,Inglewood,California,2022
13,14,December 11,Carolina Panthers,L 24–30,7–6,Lumen Field,Recap,Seattle Seahawks,Cloudy,45,16:25,Seattle,Washington,2022
14,15,December 15,San Francisco 49ers,L 13–21,7–7,Lumen Field,Recap,Seattle Seahawks,Clear,39,20:15,Seattle,Washington,2022
15,16,December 24,at Kansas City Chiefs,L 10–24,7–8,Arrowhead Stadium,Recap,Seattle Seahawks,,12,13:00,Kansas City,Missouri,2022
16,17,"January 1, 2023",New York Jets,W 23–6,8–8,Lumen Field,Recap,Seattle Seahawks,,,,,,2022
17,18,"January 8, 2023",Los Angeles Rams,W 19–16 (OT),9–8,Lumen Field,Recap,Seattle Seahawks,,,,,,2022
