,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Dallas Cowboys,W 19–3,1–0,AT&T Stadium,Recap,Tampa Bay Buccaneers,None (retractable roof closed),72,19:20,Arlington,Texas,2022
1,2,September 18,at New Orleans Saints,W 20–10,2–0,Caesars Superdome,Recap,Tampa Bay Buccaneers,None (indoor stadium),72,12:00,New Orleans,Louisiana,2022
2,3,September 25,Green Bay Packers,L 12–14,2–1,Raymond James Stadium,Recap,Tampa Bay Buccaneers,Cloudy,88,15:25,Tampa,Florida,2022
3,4,October 2,Kansas City Chiefs,L 31–41,2–2,Raymond James Stadium,Recap,Tampa Bay Buccaneers,Clear,75,19:20,Tampa,Florida,2022
4,5,October 9,Atlanta Falcons,W 21–15,3–2,Raymond James Stadium,Recap,Tampa Bay Buccaneers,Clear,83,12:00,Tampa,Florida,2022
5,6,October 16,at Pittsburgh Steelers,L 18–20,3–3,Acrisure Stadium,Recap,Tampa Bay Buccaneers,Cloudy,62,12:00,Pittsburgh,Pennsylvania,2022
6,7,October 23,at Carolina Panthers,L 3–21,3–4,Bank of America Stadium,Recap,Tampa Bay Buccaneers,Sunny,67,12:00,Charlotte,North Carolina,2022
7,8,October 27,Baltimore Ravens,L 22–27,3–5,Raymond James Stadium,Recap,Tampa Bay Buccaneers,Cloudy,79,19:15,Tampa,Florida,2022
8,9,November 6,Los Angeles Rams,W 16–13,4–5,Raymond James Stadium,Recap,Tampa Bay Buccaneers,Cloudy,88,16:25,Tampa,Florida,2022
9,10,November 13,Seattle Seahawks,W 21–16,5–5,Allianz Arena (Munich),Recap,Tampa Bay Buccaneers,Sunny,48,15:30,Munich,Germany,2022
10,11,Bye,Bye,Bye,Bye,Bye,Bye,Tampa Bay Buccaneers,,,,,,2022
11,12,November 27,at Cleveland Browns,L 17–23 (OT),5–6,FirstEnergy Stadium,Recap,Tampa Bay Buccaneers,Rain,56,13:00,Cleveland,Ohio,2022
12,13,December 5,New Orleans Saints,W 17–16,6–6,Raymond James Stadium,Recap,Tampa Bay Buccaneers,Cloudy,72,20:15,Tampa,Florida,2022
13,14,December 11,at San Francisco 49ers,L 7–35,6–7,Levi's Stadium,Recap,Tampa Bay Buccaneers,Cloudy,54,16:25,Santa Clara,California,2022
14,15,December 18,Cincinnati Bengals,L 23–34,6–8,Raymond James Stadium,Recap,Tampa Bay Buccaneers,Clear,67,16:25,Tampa,Florida,2022
15,16,December 25,at Arizona Cardinals,W 19–16 (OT),7–8,State Farm Stadium,Recap,Tampa Bay Buccaneers,Clear,69,20:20,Glendale,Arizona,2022
16,17,January 1,Carolina Panthers,W 30–24,8–8,Raymond James Stadium,Recap,Tampa Bay Buccaneers,Cloudy,73,13:00,Tampa,Florida,2022
17,18,January 8,at Atlanta Falcons,L 17–30,8–9,Mercedes-Benz Stadium,Recap,Tampa Bay Buccaneers,None (retractable roof closed),72,13:00,Atlanta,Georgia,2022
