,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,New York Giants,L 20–21,0–1,Nissan Stadium,Recap,Tennessee Titans,Cloudy,75,15:25,Nashville,Tennessee,2022
1,2,September 19,at Buffalo Bills,L 7–41,0–2,Highmark Stadium,Recap,Tennessee Titans,Partly cloudy,70,18:15,Orchard Park,New York,2022
2,3,September 25,Las Vegas Raiders,W 24–22,1–2,Nissan Stadium,Recap,Tennessee Titans,Cloudy,77,12:00,Nashville,Tennessee,2022
3,4,October 2,at Indianapolis Colts,W 24–17,2–2,Lucas Oil Stadium,Recap,Tennessee Titans,Sunny,63,12:00,Indianapolis,Indiana,2022
4,5,October 9,at Washington Commanders,W 21–17,3–2,FedExField,Recap,Tennessee Titans,Sunny,61,12:00,Landover,Maryland,2022
5,6,Bye,Bye,Bye,Bye,Bye,Bye,Tennessee Titans,,,,,,2022
6,7,October 23,Indianapolis Colts,W 19–10,4–2,Nissan Stadium,Recap,Tennessee Titans,Sunny,74,12:00,Nashville,Tennessee,2022
7,8,October 30,at Houston Texans,W 17–10,5–2,NRG Stadium,Recap,Tennessee Titans,None (retractable roof closed),72,15:05,Houston,Texas,2022
8,9,November 6,at Kansas City Chiefs,L 17–20 (OT),5–3,Arrowhead Stadium,Recap,Tennessee Titans,,58,20:20,Kansas City,Missouri,2022
9,10,November 13,Denver Broncos,W 17–10,6–3,Nissan Stadium,Recap,Tennessee Titans,Cloudy,35,13:00,Nashville,Tennessee,2022
10,11,November 17,at Green Bay Packers,W 27–17,7–3,Lambeau Field,Recap,Tennessee Titans,Cloudy,26,20:15,Green Bay,Wisconsin,2022
11,12,November 27,Cincinnati Bengals,L 16–20,7–4,Nissan Stadium,Recap,Tennessee Titans,Cloudy,55,13:00,Nashville,Tennessee,2022
12,13,December 4,at Philadelphia Eagles,L 10–35,7–5,Lincoln Financial Field,Recap,Tennessee Titans,Mostly sunny,45,13:00,Philadelphia,Pennsylvania,2022
13,14,December 11,Jacksonville Jaguars,L 22–36,7–6,Nissan Stadium,Recap,Tennessee Titans,Cloudy,50,13:00,Nashville,Tennessee,2022
14,15,December 18,at Los Angeles Chargers,L 14–17,7–7,SoFi Stadium,Recap,Tennessee Titans,None (retractable roof closed),72,16:25,Inglewood,California,2022
15,16,December 24,Houston Texans,L 14–19,7–8,Nissan Stadium,Recap,Tennessee Titans,Clear,20,14:00,Nashville,Tennessee,2022
16,17,December 29,Dallas Cowboys,L 13–27,7–9,Nissan Stadium,Recap,Tennessee Titans,Rain,59,20:15,Nashville,Tennessee,2022
17,18,January 7,at Jacksonville Jaguars,L 16–20,7–10,TIAA Bank Field,Recap,Tennessee Titans,,59,20:15,Jacksonville,Florida,2022
